customer_id,name,gender,age,city,state,signup_date
1,Aryan Maharaj,Other,36.0,Bengaluru,Karnataka,2024-07-17
2,Udant Dewan,Male,30.0,Chennai,Tamil Nadu,2023-07-29
3,Gagan Sami,Other,37.0,Jaipur,Rajasthan,2025-05-14
4,Ayushman Chander,Male,45.0,Mumbai,Maharashtra,2024-03-23
5,Viraj Tiwari,Other,29.0,Madurai,Tamil Nadu,2023-02-24
6,Rushil Saini,Other,29.0,Jaipur,Rajasthan,2026-08-23
7,Saumya Mall,Male,46.0,Udaipur,Rajasthan,2025-07-08
8,Nathaniel Sami,Male,38.0,Thiruvananthapuram,Kerala,2023-11-23
9,Arunima Dugal,Female,27.0,Surat,Gujarat,2023-11-15
10,Gayathri Chaudry,Male,36.0,Coimbatore,Tamil Nadu,2023-07-09
11,Lajita Chatterjee,Female,27.0,Ahmedabad,Gujarat,2024-12-05
12,Hemangini Lalla,Male,27.0,Thiruvananthapuram,Kerala,2025-07-29
13,Tripti Yadav,Female,34.0,Jaipur,Rajasthan,2023-06-11
14,Kritika Brar,Other,16.0,Udaipur,Rajasthan,2026-06-20
15,Janaki Handa,Other,16.0,Hyderabad,Telangana,2023-05-23
16,Chakradev Kari,Male,26.0,Nagpur,Maharashtra,2024-08-15
17,Fariq Kaul,Male,22.0,Bengaluru,Karnataka,2025-02-17
18,Lajita Mall,Other,34.0,Durgapur,West Bengal,2025-01-17
19,Janya Gaba,Female,23.0,New Delhi,Delhi,2024-03-05
20,Isha Kadakia,Other,19.0,Siliguri,West Bengal,2026-08-20
21,Ekbal Garg,Other,45.0,Mangaluru,Karnataka,2023-12-17
22,Nihal Shere,Male,29.0,Jaipur,Rajasthan,2025-08-04
23,Anamika Kanda,Other,32.0,Surat,Gujarat,2026-02-14
24,Daksh Karnik,Female,,Madurai,Tamil Nadu,2023-04-25
25,Diya Rattan,Female,27.0,Chennai,Tamil Nadu,2025-04-01
26,Dominic Kakar,Male,32.0,Kolkata,West Bengal,2026-03-07
27,Simon Tata,Other,21.0,Hyderabad,Telangana,2025-10-19
28,Tara Dhar,Female,35.0,Vadodara,Gujarat,2023-10-20
29,Liam Koshy,Male,26.0,Kolkata,West Bengal,2026-02-23
30,Priya Rastogi,Unknown,29.0,Udaipur,Rajasthan,2026-04-12
31,Theodore Devi,Female,26.0,Vadodara,Gujarat,2025-01-11
32,Gavin Batta,Other,48.0,Chennai,Tamil Nadu,2025-10-07
33,Michael Dutta,Male,31.0,Bengaluru,Karnataka,2023-11-10
34,Devansh Rajan,Other,22.0,New Delhi,Delhi,2023-05-11
35,Upadhriti Wadhwa,Other,39.0,Surat,Gujarat,2025-08-16
36,Advay Contractor,Other,21.0,Udaipur,Rajasthan,2023-01-24
37,Harini Choudhury,Other,33.0,Mangaluru,Karnataka,2024-06-30
38,Radhika Dugar,Female,16.0,Hyderabad,Telangana,2025-06-09
39,Aarush Lall,Male,20.0,New Delhi,Delhi,2024-06-23
40,Yashica Cherian,Other,33.0,Jaipur,Rajasthan,2023-08-06
41,Yashica Issac,Other,38.0,Siliguri,West Bengal,2026-06-01
42,Kashvi Edwin,Female,33.0,Chennai,Tamil Nadu,2023-11-27
43,Ekiya Suresh,Other,30.0,Jaipur,Rajasthan,2024-10-25
44,Isaac Patil,Male,29.0,Lucknow,Uttar Pradesh,2025-01-13
45,Wriddhish Bhardwaj,Male,18.0,Kolkata,West Bengal,2024-05-08
46,Farhan Chada,Male,25.0,Kochi,Kerala,2025-09-22
47,Ekapad Walia,Male,27.0,Mangaluru,Karnataka,2023-09-20
48,Kabir Soman,Male,41.0,Noida,Uttar Pradesh,2024-06-26
49,Alka Wable,Male,35.0,Udaipur,Rajasthan,2026-01-09
50,Siddharth Zacharia,Female,16.0,Madurai,Tamil Nadu,2025-03-28
51,Devika Rastogi,Other,34.0,Warangal,Telangana,2025-07-13
52,Raksha Varughese,Male,28.0,Bengaluru,Karnataka,2023-05-12
53,Jai Kota,Other,25.0,Hyderabad,Telangana,2026-02-08
54,Devansh Nigam,Male,37.0,Madurai,Tamil Nadu,2023-01-15
55,Victor Kannan,Other,41.0,Mangaluru,Karnataka,2023-05-01
56,Ekavir Bhargava,Male,40.0,Chennai,Tamil Nadu,2024-11-07
57,Ekansh Balay,Male,24.0,Mangaluru,Karnataka,2024-07-24
58,Ekavir Varkey,Other,29.0,Lucknow,Uttar Pradesh,2023-09-28
59,Arya Sunder,Male,34.0,Thiruvananthapuram,Kerala,2025-08-26
60,Kevin Solanki,Male,40.0,Ahmedabad,Gujarat,2023-07-18
61,Urvashi Ray,Female,27.0,Surat,Gujarat,2025-04-21
62,Girindra Chatterjee,Male,30.0,Noida,Uttar Pradesh,2026-08-31
63,Irya Sampath,Female,22.0,Bengaluru,Karnataka,2024-11-25
64,Unni Bhagat,Male,21.0,Bengaluru,Karnataka,2024-01-25
65,Darsh Rau,Male,39.0,Udaipur,Rajasthan,2025-05-14
66,Ikbal Kothari,Unknown,44.0,New Delhi,Delhi,2024-05-26
67,Ranveer Yadav,Other,31.0,Mysuru,Karnataka,2023-07-20
68,Logan Sami,Other,41.0,Nagpur,Maharashtra,2023-01-31
69,Arya Shere,Male,35.0,Bengaluru,Karnataka,2025-04-12
70,Faqid Savant,Male,26.0,Kanpur,Uttar Pradesh,2025-04-01
71,Chandresh Zachariah,Female,35.0,Mumbai,Maharashtra,2023-01-05
72,Girik Khalsa,Female,45.0,Surat,Gujarat,2024-08-07
73,Niharika Sunder,Other,31.0,Vadodara,Gujarat,2026-02-12
74,Tanay Rattan,Male,46.0,Lucknow,Uttar Pradesh,2024-08-30
75,Nitesh Raghavan,Other,16.0,Chennai,Tamil Nadu,2026-01-15
76,Madhavi Lanka,Female,39.0,Nagpur,Maharashtra,2023-04-28
77,Bhavika Sampath,Female,32.0,Nagpur,Maharashtra,2025-10-26
78,Mohammed Gupta,Male,29.0,Jaipur,Rajasthan,2025-11-06
79,Teerth Bhardwaj,Male,32.0,Bengaluru,Karnataka,2026-05-03
80,Dipta Bhandari,Male,,Mangaluru,Karnataka,2025-04-06
81,Vansha Thakkar,Male,30.0,Mangaluru,Karnataka,2026-03-31
82,Dakshesh Trivedi,Other,35.0,Kochi,Kerala,2023-06-17
83,Quincy Biswas,Other,45.0,Vadodara,Gujarat,2026-03-03
84,Wahab Raval,Female,27.0,Udaipur,Rajasthan,2024-02-23
85,Yatin Baral,Female,,Hyderabad,Telangana,2025-03-21
86,Oni Virk,Female,27.0,New Delhi,Delhi,2024-10-09
87,Advika Jayaraman,Female,40.0,Bengaluru,Karnataka,2026-06-26
88,William Lanka,Male,34.0,Kochi,Kerala,2026-01-06
89,Karan Mital,Female,27.0,Madurai,Tamil Nadu,2023-09-29
90,Diya Bora,Male,36.0,Hyderabad,Telangana,2025-01-26
91,Tara Chaudhry,Female,32.0,Kolkata,West Bengal,2026-01-17
92,Tanay Toor,Other,40.0,Siliguri,West Bengal,2025-12-19
93,Kevin Palla,Other,25.0,Nagpur,Maharashtra,2024-09-05
94,Yash Pingle,Female,29.0,Bengaluru,Karnataka,2023-08-25
95,Nakul Sarma,Other,28.0,Mangaluru,Karnataka,2023-11-15
96,Abhiram Mistry,Other,18.0,Durgapur,West Bengal,2024-03-07
97,Krish Lalla,Other,34.0,Hyderabad,Telangana,2026-07-22
98,Hredhaan Dugal,Female,34.0,Siliguri,West Bengal,2024-05-29
99,Baghyawati Kade,Other,32.0,Mumbai,Maharashtra,2025-05-17
100,Samar Lalla,Male,29.0,Kolkata,West Bengal,2024-11-14
101,Zayan Behl,Male,19.0,New Delhi,Delhi,2025-06-23
102,Pallavi Malhotra,Other,28.0,Udaipur,Rajasthan,2023-01-20
103,Aarush Nath,Other,28.0,Bengaluru,Karnataka,2023-11-02
104,Adweta Edwin,Female,24.0,Jaipur,Rajasthan,2026-04-07
105,Prisha Andra,Female,30.0,Jaipur,Rajasthan,2023-09-19
106,Faqid Dixit,Female,35.0,Pune,Maharashtra,2023-03-23
